name,channel,ignored,version,latest_version,depended,notes,summary,doc_url,depends_on_python,linux-64,linux-aarch64,linux-ppc64le,osx-64,osx-arm64,win-32,win-64,win-arm64
bat,,False,,0.25.0,,,A cat(1) clone with syntax highlighting and Git integration,,False,True,True,True,True,True,False,True,False
bottom,,False,,0.10.2,,,Yet another cross-platform graphical process/system monitor,,False,True,True,True,True,True,False,True,False
btop,,False,,1.4.0,,,"Resource monitor that shows usage and stats for processor, memory, disks, network and processes.",,False,True,True,False,True,True,False,False,False
clang-format,,False,,20.1.2,,,Development headers and libraries for Clang,,False,True,True,True,True,True,False,True,False
curl,,False,,8.13.0,,,tool and library for transferring data with URL syntax,https://curl.haxx.se/docs/,False,True,True,True,True,True,True,True,False
difftastic,,False,,0.63.0,,,Diff that understands syntax,,False,True,True,True,True,True,False,False,False
dua-cli,,False,,2.30.0,,,"View disk space usage and delete unwanted data, fast",,False,True,True,True,True,True,False,True,False
dust,,False,,1.2.0,,,du + rust = dust. Like du but more intuitive.,,False,True,True,True,True,True,False,True,False
exiftool,,False,,12.76,,,"Read, Write and Edit Meta Information!",,False,True,True,True,True,True,False,True,False
eza,,True,,0.21.0,,,"A modern, maintained replacement for ls.",,False,True,True,True,True,True,False,True,False
fastfetch,,False,,2.40.3,,,"Like neofetch, but much faster because written mostly in C",,False,True,True,True,True,True,False,False,False
ffmpeg,,False,,7.1.1,,,"Cross-platform solution to record, convert and stream audio and video.",https://ffmpeg.org/documentation.html,False,True,True,True,True,True,True,True,False
fzf,,False,,0.61.1,,,A command-line fuzzy finder,,False,True,True,True,True,True,False,True,False
gh,,False,,2.69.0,,,Github CLI.,https://cli.github.com/,False,True,True,True,True,True,False,True,False
ghostscript,,False,,10.04.0,,,An interpreter for the PostScript language and for PDF,,False,True,True,True,True,True,False,True,False
git,,False,,2.49.0,,,distributed version control system,,False,True,True,True,True,True,True,True,False
go-shfmt,,False,,3.11.0,,,"A shell parser, formatter, and interpreter. Supports POSIX Shell, Bash, and mksh",,False,True,True,True,True,True,False,True,False
go-task,,False,,3.42.1,,,A task runner / simpler Make alternative written in Go.,https://taskfile.dev/,False,True,True,True,True,True,False,True,False
graphviz,,False,,12.2.1,,,Open Source graph visualization software.,https://graphviz.gitlab.io/documentation/,False,True,True,True,True,True,True,True,False
htop,,False,,3.4.0,,,htop is an interactive text-mode process viewer for Unix systems. It aims to be a better 'top',,False,True,True,True,True,True,False,False,False
hub,,True,,2.14.2,,,git + hub = github,,False,True,True,True,True,True,True,True,False
imagemagick,,False,,7.1.0_44,,,"Software suite to create, edit, compose, or convert bitmap images.",,False,True,True,True,True,True,False,False,False
joshuto,,False,,0.9.8,,,ranger-like terminal file manager written in Rust,,False,True,True,True,True,True,False,False,False
jq,,False,,1.7.1,,,A command-line JSON processor.,,False,True,True,True,True,True,False,False,False
libiconv,,True,,1.18,,,Provides iconv for systems which don't have one (or that cannot convert from/to Unicode.),,False,True,True,True,True,True,True,True,False
lsdeluxe,,False,,1.1.5,,,The next gen ls command,,False,True,True,True,True,True,False,True,False
