name,version,channel,ignored,3.7,3.8,3.9,3.10,pypy3.6,pypy3.7,3.10-override,dep-of
mkl,,,False,True,True,True,True,True,True,,
quaternion,,,False,True,True,True,True,True,True,,
ephem,,,False,True,True,True,True,True,True,,
nose,,,False,True,True,True,True,True,True,,
pip,,,False,True,True,True,True,True,True,,
pickleshare,,,False,True,True,True,True,True,True,,
scipy,,,False,True,True,True,True,True,True,,
astropy,,,False,True,True,True,True,True,True,,
h5py,,,False,True,True,True,True,True,True,,
matplotlib,,,False,True,True,True,True,True,True,,
cython,,,False,True,True,True,True,True,True,,
ipykernel,,,False,True,True,True,True,True,True,,
ipyparallel,,,False,True,True,True,True,True,True,,
pytest,,,False,True,True,True,True,True,True,,
pytest-cov,,,False,True,True,True,True,True,True,,
pytest-mpi,,,False,True,True,True,True,True,True,,
pytest-parallel,,,False,True,True,True,True,True,True,,
pandas,,,False,True,True,True,True,True,True,,
pytables,,,False,True,True,True,True,True,True,,
seaborn,,,False,True,True,True,True,True,True,,
psutil,,,False,True,True,True,True,True,True,,
statsmodels,,,False,True,True,True,True,True,True,,
future,,,False,True,True,True,True,True,True,,
scikit-learn,,,False,True,True,True,True,True,True,,
bokeh,,,False,True,True,True,True,True,True,,
map_parallel,,,False,True,True,True,True,True,True,,
dautilpy,,,False,True,True,True,True,True,True,,
yamlloader,,,False,True,True,True,True,True,True,,
xmltodict,,,False,True,True,True,True,True,True,,
zeep,,,False,True,True,True,True,True,True,,
pandocfilters,,,False,True,True,True,True,True,True,,
numpy,,,False,True,True,True,True,True,True,,
sympy,,,False,True,True,True,True,True,True,,
pillow,,,True,True,True,True,True,True,True,,
pyyaml,,,False,True,True,True,True,True,True,,
ujson,,,True,True,True,True,True,True,True,,
pylint,,,False,True,True,True,True,True,True,,
mypy,,,False,True,True,True,True,True,True,,
sphinx,,,False,True,True,True,True,True,True,,
sphinxcontrib-apidoc,,,False,True,True,True,True,True,True,,
sphinxcontrib-contentui,,,True,True,True,True,True,True,True,,
tox,,,True,True,True,True,True,True,True,,
tox-conda,,,True,True,True,True,True,True,True,,
decorator,,,True,True,True,True,True,True,True,,
numexpr,,,True,True,True,True,True,True,True,,
setuptools,,,False,True,True,True,True,True,True,,
imageio,,,True,True,True,True,True,True,True,,
coverage,,,False,True,True,True,True,True,True,,
pandoc,,,False,True,True,True,True,True,True,,
pandoc-crossref,,,False,True,True,True,True,True,True,,
panflute,,,False,True,True,True,True,True,True,,
pantable,,,False,True,True,True,True,True,True,,
pancritic,,,False,True,True,True,True,True,True,,
click,,,True,True,True,True,True,True,True,,
pypandoc,,,True,True,True,True,True,True,True,,
mpmath,,,False,True,True,True,True,True,True,,
markdown,,,True,True,True,True,True,True,True,,
markdown2,,,True,True,True,True,True,True,True,,
scikit-image,,,True,True,True,True,True,True,True,,
requests,,,False,True,True,True,True,True,True,,
requests-oauthlib,,,False,True,True,True,True,True,True,,
requests-futures,,,True,True,True,True,True,True,True,,
opencv,,,True,True,True,True,True,True,True,,
dask,,,True,True,True,True,True,True,True,,
distributed,,,True,True,True,True,True,True,True,,
multipledispatch,,,True,True,True,True,True,True,True,,
uncertainties,,,False,True,True,True,True,True,True,,
nbconvert,,,False,True,True,True,True,True,True,,
holoviews,,,True,True,True,True,True,True,True,,
autopep8,,,True,True,True,True,True,True,True,,
pycodestyle,,,True,True,True,True,True,True,True,,
flake8,,,True,True,True,True,True,True,True,,
flake8-pyi,,,True,True,True,True,True,True,True,,
black,,,False,True,True,True,True,True,True,,
autoflake,,,False,True,True,True,True,True,True,,
removestar,,,False,True,True,True,True,True,True,,
