name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,linux-armv7l,linux-ppc64le,noarch,osx-64,osx-arm64,win-32,win-64,win-arm64
acor,,True,,1.1.1,2022-11-02,,,Estimate the autocorrelation time of a time series quickly.,http://github.com/dfm/acor,,,MIT,7,libgcc-ng/numpy/python/python_abi/ucrt/vc/vs2015_runtime,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False
adbc-driver-postgresql,,False,,1.11.0,2026-04-07,pandas,,Database access libraries for Apache Arrow,https://arrow.apache.org,https://github.com/apache/arrow-adbc,https://arrow.apache.org/docs/,Apache-2.0,4,adbc-driver-manager/importlib_resources/libadbc-driver-postgresql/python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
adbc-driver-sqlite,,False,,1.11.0,2026-04-07,pandas,,Database access libraries for Apache Arrow,https://arrow.apache.org,https://github.com/apache/arrow-adbc,https://arrow.apache.org/docs/,Apache-2.0,4,adbc-driver-manager/importlib_resources/libadbc-driver-sqlite/python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
aiohttp,,True,,3.13.5,2018-06-05,,,Async http client/server framework (asyncio),https://github.com/aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,http://aiohttp.readthedocs.io/,MIT AND Apache-2.0,7,async-timeout/attrs/chardet/idna_ssl/multidict/python/yarl,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
anywidget,,False,,0.11.0,2026-04-28,,,"simple, custom Jupyter widgets",https://pypi.org/project/anywidget/,https://github.com/manzt/anywidget,,MIT,4,ipywidgets/psygnal/python/typing_extensions,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
archspec,,False,,0.2.5,2025-01-20,,,A library to query system architecture,https://pypi.org/project/archspec/,https://github.com/archspec/archspec/,https://archspec.readthedocs.io/,MIT OR Apache-2.0,1,python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
arrow,,True,,1.4.0,2018-01-31,,,Better dates & times for Python,https://github.com/arrow-py/arrow,https://github.com/crsmithdev/arrow,https://arrow.readthedocs.io,Apache-2.0,3,backports.functools_lru_cache/python/python-dateutil,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
asdf-astropy,,False,,0.11.0,2026-03-27,astropy,,ASDF serialization support for astropy,https://github.com/astropy/asdf-astropy,,,BSD-3-Clause,8,asdf/asdf-coordinates-schemas/asdf-standard/asdf-transform-schemas/astropy-base/numpy/packaging/python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
astropy,,False,,7.2.0,2018-04-24,,https://docs.astropy.org/en/stable/install.html#using-conda,Community-developed Python Library for Astronomy,http://www.astropy.org/,https://github.com/astropy/astropy,http://docs.astropy.org/en/stable/,BSD-3-Clause,3,numpy/pytest-astropy/python,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
autoflake,,False,,2.3.3,2026-02-20,,,Removes unused imports and unused variables,https://github.com/myint/autoflake,,,MIT,3,pyflakes/python/tomli,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
