name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,noarch,osx-64,osx-arm64,win-64,win-arm64
anywidget,,False,,0.11.0,2026-04-28,,,"simple, custom Jupyter widgets",https://pypi.org/project/anywidget/,https://github.com/manzt/anywidget,,MIT,4,ipywidgets/psygnal/python/typing_extensions,True,False,False,False,False,False,False,True,False,False,False,False
bash_kernel,,False,,0.10.0,2025-01-06,,,A Jupyter kernel for bash,https://github.com/takluyver/bash_kernel,https://github.com/takluyver/bash_kernel,https://github.com/takluyver/bash_kernel,BSD-3-Clause,5,bash/filetype/ipykernel/pexpect/python,True,False,False,False,False,False,False,True,False,False,False,False
ipympl,,False,,0.10.0,2026-01-24,,,Matplotlib Jupyter Extension,https://github.com/matplotlib/ipympl,https://github.com/matplotlib/ipympl,https://matplotlib.org/ipympl,BSD-3-Clause,7,ipython/ipywidgets/matplotlib-base/numpy/pillow/python/traitlets,True,False,False,False,False,False,False,True,False,False,False,False
ipywidgets,,False,,8.1.8,2025-11-01,,,Jupyter Interactive Widgets,https://github.com/jupyter-widgets/ipywidgets,,https://ipywidgets.readthedocs.io/en/latest/,BSD-3-Clause,6,comm/ipython/jupyterlab_widgets/python/traitlets/widgetsnbextension,True,False,False,False,False,False,False,True,False,False,False,False
jedi-language-server,,False,,0.47.0,2026-06-01,,,A language server for Jedi!,https://github.com/pappasam/jedi-language-server,https://github.com/pappasam/jedi-language-server,,MIT,6,cattrs/docstring-to-markdown/jedi/lsprotocol/pygls/python,True,False,False,False,False,False,False,True,False,False,False,False
jupyter-lsp,,False,,2.3.1,2026-04-02,,,Multi-Language Server WebSocket proxy for Jupyter Server,https://github.com/jupyter-lsp/jupyterlab-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,https://jupyterlab-lsp.readthedocs.io,BSD-3-Clause,3,importlib-metadata/jupyter_server/python,True,False,False,False,False,False,False,True,False,False,False,False
jupyter-lsp-python,,False,,2.3.1,2026-04-02,,,A metapackage for jupyter-lsp and python-lsp-server,https://github.com/jupyter-lsp/jupyterlab-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,https://jupyterlab-lsp.readthedocs.io,BSD-3-Clause,2,jupyter-lsp/python-lsp-server,False,False,False,False,False,False,False,True,False,False,False,False
jupyter_bokeh,,False,,4.0.5,2024-12-19,,,A Jupyter extension for rendering Bokeh content.,https://pypi.org/project/jupyter-bokeh,https://github.com/bokeh/jupyter_bokeh,,BSD-3-Clause,3,bokeh/ipywidgets/python,True,False,False,False,False,False,False,True,False,False,False,False
jupyterlab,,False,,4.5.8,2026-06-04,,,"An extensible environment for interactive and reproducible computing, based on the Jupyter Notebook and Architecture.",https://github.com/jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab,https://jupyterlab.readthedocs.io,BSD-3-Clause,15,async-lru/httpx/ipykernel/jinja2/jupyter-lsp/jupyter_core/jupyter_server/jupyterlab_server/notebook-shim/packaging/python/setuptools/tomli/tornado/traitlets,True,False,False,False,False,False,False,True,False,False,False,False
jupyterlab-geojson,,False,,3.4.0,2025-01-06,,,GeoJSON renderer for JupyterLab,https://github.com/jupyterlab/jupyter-renderers,,,BSD-3-Clause,1,python,True,False,False,False,False,False,False,True,False,False,False,False
jupyterlab-lsp,,False,,5.3.0,2026-04-02,,,Language Server Protocol integration for JupyterLab,https://github.com/jupyter-lsp/jupyterlab-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,https://jupyterlab-lsp.readthedocs.io,BSD-3-Clause,3,jupyter-lsp/jupyterlab/python,True,False,False,False,False,False,False,True,False,False,False,False
jupyterlab-myst,,False,,2.6.0,2025-12-15,,,A Myst renderer for JupyterLab,https://github.com/executablebooks/jupyterlab-myst,,,BSD-3-Clause,2,jupyter_server/python,True,False,False,False,False,False,False,True,False,False,False,False
jupytext,,False,,1.19.3,2026-05-17,,,"Jupyter notebooks as Markdown documents, Julia, Python or R scripts",https://github.com/mwouts/jupytext,,https://github.com/mwouts/jupytext/blob/main/README.md,MIT,7,markdown-it-py/mdit-py-plugins/nbformat/packaging/python/pyyaml/tomli,True,False,False,False,False,False,False,True,False,False,False,False
nbconvert,,False,,7.17.1,2026-04-08,,,Converting Jupyter Notebooks,https://jupyter.org,https://github.com/jupyter/nbconvert,https://nbconvert.readthedocs.org/,BSD-3-Clause,2,nbconvert-core/nbconvert-pandoc,False,False,False,False,False,False,False,True,False,False,False,False
pandoc,,False,,3.10,2026-06-04,,,The universal markup converter,http://pandoc.org/,https://github.com/jgm/pandoc,http://pandoc.org/MANUAL.html,GPL-2.0-or-later,0,,False,False,False,False,False,True,True,False,True,True,True,False
pixi,,False,,0.70.2,2026-06-08,,,"pixi is a cross-platform, multi-language package manager and workflow tool build on the shoulders of the conda ecosystem.",https://pixi.prefix.dev/,https://github.com/prefix-dev/pixi,,BSD-3-Clause,7,libcxx/libgcc/libstdcxx/openssl/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,False,True,True,True,True
pixi-kernel,,False,,0.7.1,2025-11-26,,,Jupyter kernels using Pixi for reproducible notebooks,https://github.com/renan-r-santos/pixi-kernel,,,MIT,7,ipykernel/jupyter_client/jupyter_server/msgspec/python/returns/tomli,True,False,False,False,False,False,False,True,False,False,False,False
playwright,,False,,1.60.0,2026-05-26,,,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API.",https://playwright.dev/,https://github.com/microsoft/playwright,https://playwright.dev/docs/,Apache-2.0,1,nodejs,False,True,False,False,False,True,True,False,True,True,True,False
plotly,,False,,6.8.0,2026-06-04,,,"An interactive, browser-based graphing library for Python",https://plot.ly/python/,https://github.com/plotly/plotly.py,https://plot.ly/python/,MIT,3,narwhals/packaging/python,True,False,False,False,False,False,False,True,False,False,False,False
