name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,linux-ppc64le,noarch,osx-64,osx-arm64,win-64,win-arm64
bash,,False,,5.2.37,2025-05-30,,,Bourne Again Shell,https://www.gnu.org/software/bash/,https://git.savannah.gnu.org/cgit/bash.git/,https://www.gnu.org/software/bash/manual/,GPL-3.0-or-later,2,libgcc/readline,False,False,False,False,False,True,True,True,False,True,True,False,False
bat,,False,,0.26.1,2025-12-02,,,A cat(1) clone with syntax highlighting and Git integration,https://github.com/sharkdp/bat,,,MIT,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
bat-extras,,False,,2024.08.24,2024-10-25,,,Bash scripts that integrate bat with various command line tools,https://github.com/eth-p/bat-extras,,,MIT,4,bash/bat/fzf/ripgrep,False,False,False,False,False,False,False,False,True,False,False,False,False
bottom,,True,,0.12.2,2025-12-27,,,Yet another cross-platform graphical process/system monitor,https://clementtsang.github.io/bottom,https://github.com/ClementTsang/bottom,,MIT,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
btop,,False,,1.4.7,2026-05-01,,,"Resource monitor that shows usage and stats for processor, memory, disks, network and processes.",https://github.com/aristocratos/btop,https://github.com/aristocratos/btop,,Apache-2.0,3,libcxx/libgcc/libstdcxx,False,False,False,False,False,True,True,False,False,True,True,False,False
bzip2,,False,,1.0.8,2026-02-17,,,high-quality data compressor,https://gitlab.com/bzip2/bzip2,https://gitlab.com/bzip2/bzip2,http://www.bzip.org/docs.html,bzip2-1.0.6,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,True
clang-format,,False,,22.1.7,2026-06-03,,,Development headers and libraries for Clang,http://llvm.org/,https://github.com/llvm/llvm-project,,Apache-2.0 WITH LLVM-exception,9,clang-format-22/libclang-cpp22.1/libcxx/libgcc/libllvm22/libstdcxx/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
coreutils,,False,,9.5,2024-03-28,,,"The GNU Core Utilities are the basic file, shell and text manipulation utilities of the GNU operating system.",https://www.gnu.org/software/coreutils,http://git.savannah.gnu.org/cgit/coreutils.git,https://www.gnu.org/software/coreutils/manual/html_node/index.html,GPL-3.0-or-later,1,libgcc-ng,False,False,False,False,False,True,True,True,False,True,True,False,False
curl,,False,,8.20.0,2026-04-29,,,tool and library for transferring data with URL syntax,http://curl.haxx.se/,https://github.com/curl/curl,https://curl.haxx.se/docs/,curl,10,krb5/libcurl/libgcc/libssh2/libzlib/openssl/ucrt/vc/vc14_runtime/zstd,False,False,False,False,False,True,True,True,False,True,True,True,False
difftastic,,False,,0.69.0,2026-04-30,,,Diff that understands syntax,https://github.com/Wilfred/difftastic,https://github.com/Wilfred/difftastic,,MIT,3,libcxx/libgcc/libstdcxx,False,False,False,False,False,True,True,False,False,True,True,False,False
diffutils,,False,,3.12,2025-06-03,,,GNU Diffutils is a package of several programs related to finding differences between files.,https://www.gnu.org/software/diffutils/,http://git.savannah.gnu.org/cgit/diffutils.git,https://www.gnu.org/software/diffutils/manual/html_node/index.html,GPL-3.0-or-later,1,libgcc,False,False,False,False,False,True,True,True,False,True,True,False,False
direnv,,False,,2.37.1,2026-03-21,,,unclutter your .profile,https://github.com/direnv/direnv,,,MIT,0,,False,False,False,False,False,True,True,True,False,True,True,True,False
dua-cli,,False,,2.34.0,2026-02-20,,,"View disk space usage and delete unwanted data, fast",https://lib.rs/crates/dua-cli,https://github.com/Byron/dua-cli,,MIT,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
dust,,False,,1.2.4,2026-01-09,,,du + rust = dust. Like du but more intuitive.,https://github.com/bootandy/dust,https://crates.io/crates/du-dust,,Apache-2.0,1,libgcc,False,False,False,False,False,True,True,True,False,True,True,True,False
exiftool,,False,,13.59,2026-05-27,,,"Read, Write and Edit Meta Information!",https://exiftool.org/,,,GPL-1.0-or-later,1,perl,False,False,True,False,False,True,True,True,False,True,True,True,False
fastfetch,,False,,2.49.0,2025-11-12,,,"Like neofetch, but much faster because written mostly in C",https://github.com/fastfetch-cli/fastfetch,https://github.com/fastfetch-cli/fastfetch,,MIT,4,libcxx/libgcc/libstdcxx/libvulkan-loader,False,False,False,False,False,True,True,True,False,True,True,False,False
fd-find,,False,,10.4.2,2026-03-12,,,"A simple, fast and user-friendly alternative to 'find'",https://github.com/sharkdp/fd,,,MIT,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
ffmpeg,,False,,8.1.1,2026-06-05,,,"Cross-platform solution to record, convert and stream audio and video.",https://www.ffmpeg.org/,https://git.ffmpeg.org/ffmpeg.git,https://ffmpeg.org/documentation.html,GPL-2.0-or-later,57,alsa-lib/aom/bzip2/dav1d/fontconfig/fonts-conda-ecosystem/gmp/harfbuzz/lame/libass/libexpat/libfreetype/libfreetype6/libgcc/libiconv/libjxl/liblzma/libopenvino/libopenvino-arm-cpu-plugin/libopenvino-auto-batch-plugin/libopenvino-auto-plugin/libopenvino-hetero-plugin/libopenvino-intel-cpu-plugin/libopenvino-intel-gpu-plugin/libopenvino-intel-npu-plugin/libopenvino-ir-frontend/libopenvino-onnx-frontend/libopenvino-paddle-frontend/libopenvino-pytorch-frontend/libopenvino-tensorflow-frontend/libopenvino-tensorflow-lite-frontend/libopus/libplacebo/librsvg/libstdcxx/libva/libvorbis/libvpl/libvpx/libvulkan-loader/libwebp-base/libxcb/libxml2/libxml2-16/libzlib/openh264/openssl/pulseaudio-client/sdl2/shaderc/svt-av1/ucrt/vc/vc14_runtime/x264/x265/xorg-libx11,False,False,False,False,False,True,True,True,False,True,True,True,False
file,,False,,5.47,2026-02-26,,,Fine Free File Command,http://darwinsys.com/file,https://github.com/file/file,,BSD-2-Clause-Darwin,3,libgcc/libmagic/libzlib,False,False,False,False,False,True,True,True,False,True,True,False,False
findutils,,False,,4.10.0,2025-12-09,,,The GNU Find Utilities are the basic directory searching utilities of the GNU operating system.,https://www.gnu.org/software/findutils/,http://savannah.gnu.org/projects/findutils/,https://www.gnu.org/software/findutils/manual/find.html,GPL-3.0-or-later,2,libgcc/libintl,False,False,False,False,False,True,True,True,False,True,True,False,False
fish,,False,,4.7.1,2026-05-07,,,User-friendly command-line shell for UNIX-like operating systems,https://fishshell.com/,https://github.com/fish-shell/fish-shell,https://fishshell.com/docs/current/index.html,GPL-2.0-only,3,libgcc/ncurses/pcre2,False,False,False,False,False,True,True,False,False,True,True,False,False
fzf,,False,,0.73.1,2026-05-25,,,A command-line fuzzy finder,https://github.com/junegunn/fzf,,,MIT,0,,False,False,False,False,False,True,True,True,False,True,True,True,False
gawk,,False,,5.4.0,2026-04-27,,,The awk utility interprets a special-purpose programming language that makes it easy to handle simple data-reformatting jobs.,https://www.gnu.org/software/gawk/,http://savannah.gnu.org/projects/gawk/,https://www.gnu.org/software/gawk/manual/gawk.html,GPL-3.0-or-later,7,gmp/libasprintf/libgcc/libgettextpo/libintl/mpfr/readline,False,False,False,False,False,True,True,True,False,True,True,False,False
gh,,False,,2.93.0,2026-05-27,,,Github CLI.,https://github.com/cli/cli,https://github.com/cli/cli,https://cli.github.com/,Apache-2.0,0,,False,False,False,False,False,True,True,True,False,True,True,True,False
ghostscript,,False,,10.07.1,2026-05-22,,,An interpreter for the PostScript language and for PDF,http://ghostscript.com/,,,AGPL-3.0-only,6,libcxx/libgcc/libstdcxx/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
git,,False,,2.54.0,2026-06-06,,,distributed version control system,https://git-scm.com/,,,GPL-2.0-or-later and LGPL-2.1-or-later,9,libcurl/libexpat/libgcc/libiconv/libintl/libzlib/openssl/pcre2/perl,False,False,True,False,False,True,True,True,False,True,True,True,False
git-delta,,False,,0.19.2,2026-03-28,,,"A syntax-highlighting pager for git, diff, and grep output.",https://github.com/dandavison/delta,,,MIT,5,libgcc/libzlib/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,False,False,True,True,True,False
gnu-units,,False,,2.22,2022-09-07,,,GNU Units converts quantities expressed in various systems of measurement to their equivalents in other systems of measurement,https://www.gnu.org/software/units/,,,GPL-2.0-or-later,1,libgcc-ng,False,False,False,False,False,True,True,True,False,True,True,False,False
go-shfmt,,False,,3.13.1,2026-04-06,,,"A shell parser, formatter, and interpreter. Supports POSIX Shell, Bash, and mksh",https://github.com/mvdan/sh,https://github.com/mvdan/sh,,BSD-3-Clause,0,,False,False,False,False,False,True,True,True,False,True,True,True,False
go-task,,False,,3.51.1,2026-05-16,,,A task runner / simpler Make alternative written in Go.,https://taskfile.dev/,https://github.com/go-task/task,https://taskfile.dev/,MIT,0,,False,False,False,False,False,True,True,True,False,True,True,True,False
graphviz,,False,,14.1.2,2026-01-26,,,Open Source graph visualization software.,http://www.graphviz.org/,https://gitlab.com/graphviz/graphviz/,https://graphviz.gitlab.io/documentation/,EPL-1.0,20,adwaita-icon-theme/cairo/fonts-conda-ecosystem/gdk-pixbuf/getopt-win32/gtk3/gts/libcxx/libexpat/libgcc/libgd/libglib/librsvg/libstdcxx/libwebp-base/libzlib/pango/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
grep,,False,,3.12,2025-11-21,,,Grep searches one or more input files for lines containing a match to a specified pattern,https://www.gnu.org/software/grep/,,https://www.gnu.org/software/grep/manual/,GPL-3.0-or-later,3,libgcc/libintl/pcre2,False,False,False,False,False,True,True,True,False,True,True,False,False
gzip,,False,,1.14,2025-04-10,,,The GNU zip complession utility,https://www.gnu.org/software/gzip/,https://savannah.gnu.org/projects/gzip/,https://www.gnu.org/software/gzip/manual/gzip.html,GPL-3.0-or-later,1,libgcc,False,False,False,False,False,True,True,True,False,True,True,False,False
htop,,False,,3.5.1,2026-04-29,,,htop is an interactive text-mode process viewer for Unix systems. It aims to be a better 'top',https://htop.dev/,https://github.com/htop-dev/htop/,,GPL-2.0-only,3,libgcc/libnl/ncurses,False,False,False,False,False,True,True,True,False,True,True,False,False
hyperfine,,False,,1.20.0,2025-11-18,,,A command-line benchmarking tool,https://github.com/sharkdp/hyperfine,,,MIT,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
imagemagick,,False,,7.1.2_25,2026-06-08,,,"Software suite to create, edit, compose, or convert bitmap images.",http://www.imagemagick.org/,,,ImageMagick,39,bzip2/fftw/fontconfig/fonts-conda-ecosystem/fonts-conda-forge/ghostscript/giflib/graphviz/jbig/lcms2/libcxx/libfreetype/libfreetype6/libgcc/libglib/libheif/libjpeg-turbo/libjxl/liblzma/libpng/libraw/librsvg/libstdcxx/libtiff/libwebp-base/libxml2/libxml2-16/libzip/libzlib/openexr/openjpeg/pango/ucrt/vc/vc14_runtime/xorg-libx11/xorg-libxext/xorg-libxrender/xorg-libxt,False,False,False,False,False,True,True,True,False,True,True,True,False
inetutils,,False,,2.7,2026-01-09,,,Inetutils is a collection of common network programs,https://www.gnu.org/software/inetutils/,,,GPL-3.0-or-later,4,libgcc/libidn2/libxcrypt/ncurses,False,False,False,False,False,True,True,True,False,True,True,False,False
iperf,,False,,3.20,2025-11-15,,,"A TCP, UDP, and SCTP network bandwidth measurement tool",http://software.es.net/iperf/,https://github.com/esnet/iperf/,http://software.es.net/iperf/,PUBLIC-DOMAIN,1,libgcc,False,False,False,False,False,True,False,False,False,True,False,False,False
joshuto,,False,,0.9.9,2025-11-28,,,ranger-like terminal file manager written in Rust,https://github.com/kamiyaa/joshuto,https://github.com/kamiyaa/joshuto,,GPL-3.0-or-later,1,libgcc,False,False,False,False,False,True,True,True,False,True,True,False,False
jq,,False,,1.8.1,2025-07-02,,,A command-line JSON processor.,https://jqlang.github.io/jq/,,,MIT,2,libgcc/oniguruma,False,False,False,False,False,True,True,False,False,True,True,False,False
juliaup,,False,,1.19.9,2026-02-19,,,Julia installer and version multiplexer,https://github.com/JuliaLang/juliaup,,,MIT,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,False,False,True,True,True,False
less,,False,,692,2026-02-10,,,A terminal based program for viewing text files,https://www.greenwoodsoftware.com/less,https://github.com/gwsw/less,https://www.greenwoodsoftware.com/less/faq.html,GPL-3.0-only,6,libgcc/ncurses/pcre2/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
libarchive,,False,,3.8.7,2026-05-11,,,Multi-format archive and compression library,http://www.libarchive.org/,,,BSD-2-Clause,14,bzip2/libgcc/libiconv/liblzma/libxml2/libxml2-16/libzlib/lz4-c/lzo/openssl/ucrt/vc/vc14_runtime/zstd,False,False,False,False,False,True,True,True,False,True,True,True,True
lmod,,False,,8.7.25,2023-06-01,,,"Lmod: An Environment Module System based on Lua, Reads TCL Modules, Supports a Software Hierarchy",https://github.com/TACC/Lmod,https://github.com/TACC/Lmod,http://lmod.readthedocs.org/,MIT,10,libgcc/libgcc-ng/libzlib/lua/lua-luafilesystem/lua-luaposix/luarocks/tclreadline/tk/zlib,False,False,False,False,False,True,False,False,False,False,False,False,False
lsdeluxe,,False,,1.2.0,2025-10-12,,,The next gen ls command,https://github.com/Peltoche/lsd,https://github.com/Peltoche/lsd,,Apache-2.0,4,libgcc/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
make,,False,,4.4.1,2024-10-01,,,GNU Make is a tool which controls the generation of executables and other non-source files of a program from the program's source files.,https://www.gnu.org/software/make/,,https://www.gnu.org/software/make/manual/,GPL-3.0-or-later,3,libgcc/libwinpthread/ucrt,False,False,False,False,False,True,True,True,False,True,True,True,False
mediainfo,,False,,26.01,2026-02-04,,,Convenient unified display of the most relevant technical and tag data for video and audio files,https://mediaarea.net/MediaInfo,https://github.com/MediaArea/MediaInfo,https://mediaarea.net/MediaInfo,BSD-2-Clause,9,libcxx/libgcc/libmediainfo/libstdcxx/libzen/libzlib/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
mosh,,False,,1.4.0,2026-02-17,,,Mobile shell that supports roaming and intelligent local echo,https://mosh.org/,,,GPL-3.0-or-later,8,libcxx/libgcc/libprotobuf/libstdcxx/libzlib/ncurses/openssl/perl,False,False,True,False,False,True,True,True,False,True,True,False,False
nano,,False,,9.0,2026-04-08,,,"Nano's ANOther editor, an enhanced free Pico clone",https://www.nano-editor.org/,https://git.savannah.gnu.org/cgit/nano.git/log/,https://www.nano-editor.org/docs.php,GPL-3.0-or-later,2,libgcc/ncurses,False,False,False,False,False,True,True,True,False,True,False,False,False
navi,,False,,2.24.0,2025-11-30,,,Interactive cheatsheet tool for the command-line,https://github.com/denisidoro/navi,https://github.com/denisidoro/navi,,Apache-2.0,6,fzf/libgcc/libzlib/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,True,False,True,True,True,False
nvtop,,False,,3.3.2,2026-02-08,,,Neat Videocard TOP,https://github.com/Syllo/nvtop,,,GPL-3.0-only,6,libcxx/libdrm/libgcc/libstdcxx/libsystemd0/ncurses,False,False,False,False,False,True,True,True,False,True,False,False,False
onefetch,,False,,2.27.1,2026-03-19,,,Command-line Git information tool,https://github.com/o2sh/onefetch,https://github.com/o2sh/onefetch,,MIT,6,libcxx/libgcc/libstdcxx/ucrt/vc/vc14_runtime,False,False,False,False,False,True,True,False,False,True,True,True,False
openssh,,False,,10.2p1,2026-02-12,,,A suite of secure networking utilities based on the SSH protocol,https://www.openssh.com/,https://cvsweb.openbsd.org/cgi-bin/cvsweb/src/usr.bin/ssh/,,SSH-OpenSSH,7,krb5/libedit/libfido2/libgcc/libxcrypt/libzlib/openssl,False,False,False,False,False,True,True,True,False,True,True,False,False
